●標的證券資訊,,,,,,,,,
"股票期貨、
選擇權
商品代碼 ",標的證券 ,"證券
代號 ","標的證券
簡稱 ",是否為標的,,標的證券,,,"標準型
證券
股數"
,,,,"股票
期貨","股票
選擇權","上市
普通股","上櫃
普通股","上市
ETF",
GO,漢唐集成股份有限公司,2404,漢唐,●,,◎,,,"2,000 "
GP,國碩科技工業股份有限公司,2406,國碩,●,,◎,,,"2,000 "
GR,京元電子股份有限公司,2449,京元電子,●,,◎,,,"2,000 "
GU,全新光電科技股份有限公司,2455,全新,●,,◎,,,"2,000 "
GW,義隆電子股份有限公司,2458,義隆,●,,◎,,,"2,000 "
GX,可成科技股份有限公司,2474,可成,●,,◎,,,"2,000 "
GZ,兆赫電子股份有限公司,2485,兆赫,●,,◎,,,"2,000 "
HA,瑞軒科技股份有限公司,2489,瑞軒,●,,◎,,,"2,000 "
HC,宏達國際電子股份有限公司,2498,宏達電,●,,◎,,,"2,000 "
HH,中華工程股份有限公司,2515,中工,●,,◎,,,"2,000 "
HI,冠德建設股份有限公司,2520,冠德,●,,◎,,,"2,000 "
HL,興富發建設股份有限公司,2542,興富發,●,,◎,,,"2,000 "
HM,皇翔建設股份有限公司,2545,皇翔,●,,◎,,,"2,000 "
HO,華固建設股份有限公司,2548,華固,●,,◎,,,"2,000 "
HS,長榮航空股份有限公司,2618,長榮航,●,,◎,,,"2,000 "
HW,台中商業銀行股份有限公司,2812,台中銀,●,,◎,,,"2,000 "
HY,中國人壽保險股份有限公司,2823,中壽,●,,◎,,,"2,000 "
IA,臺灣中小企業銀行股份有限公司,2834,臺企銀,●,,◎,,,"2,000 "
IB,遠東國際商業銀行股份有限公司,2845,遠東銀,●,,◎,,,"2,000 "
IF,遠東百貨股份有限公司,2903,遠百,●,,◎,,,"2,000 "
IH,台灣農林股份有限公司,2913,農林,●,,◎,,,"2,000 "
II,晶豪科技股份有限公司,3006,晶豪科,●,,◎,,,"2,000 "
IJ,大立光電股份有限公司,3008,大立光,●,,◎,,,"2,000 "
IM,亞洲光學股份有限公司,3019,亞光,●,,◎,,,"2,000 "
IN,威強電工業電腦股份有限公司,3022,威強電,●,,◎,,,"2,000 "
IO,聯詠科技股份有限公司,3034,聯詠,●,,◎,,,"2,000 "
IP,智原科技股份有限公司,3035,智原,●,,◎,,,"2,000 "
IQ,文曄科技股份有限公司,3036,文曄,●,,◎,,,"2,000 "
IR,欣興電子股份有限公司,3037,欣興,●,,◎,,,"2,000 "
IT,台灣晶技股份有限公司,3042,晶技,●,,◎,,,"2,000 "
IV,銘異科技股份有限公司,3060,銘異,●,,◎,,,"2,000 "
IX,景碩科技股份有限公司,3189,景碩,●,,◎,,,"2,000 "
IY,新日興股份有限公司,3376,新日興,●,,◎,,,"2,000 "
IZ,明泰科技股份有限公司,3380,明泰,●,,◎,,,"2,000 "
JB,創意電子股份有限公司,3443,創意,●,,◎,,,"2,000 "
JD,昱晶能源科技股份有限公司,3514,昱晶,●,,◎,,,"2,000 "
JF,嘉澤端子工業股份有限公司,3533,嘉澤,●,,◎,,,"2,000 "
JG,昇陽光電科技股份有限公司,3561,昇陽光電,●,,◎,,,"2,000 "
JI,新日光能源科技股份有限公司,3576,新日光,●,,◎,,,"2,000 "
JN,TPK-KY,3673,TPK-KY,●,,◎,,,"2,000 "
JP,大聯大投資控股股份有限公司,3702,大聯大,●,,◎,,,"2,000 "
JS,和碩聯合科技股份有限公司,4938,和碩,●,,◎,,,"2,000 "
JW,長虹建設股份有限公司,5534,長虹,●,,◎,,,"2,000 "
JX,群益金鼎證券股份有限公司,6005,群益證,●,,◎,,,"2,000 "
JZ,嘉聯益科技股份有限公司,6153,嘉聯益,●,,◎,,,"2,000 "
KA,瑞儀光電股份有限公司,6176,瑞儀,●,,◎,,,"2,000 "
KC,力成科技股份有限公司,6239,力成,●,,◎,,,"2,000 "
KD,同欣電子工業股份有限公司,6271,同欣電,●,,◎,,,"2,000 "
KE,台灣表面黏著科技股份有限公司,6278,台表科,●,,◎,,,"2,000 "
KF,康舒科技股份有限公司,6282,康舒,●,,◎,,,"2,000 "
KG,啟碁科技股份有限公司,6285,啟碁,●,,◎,,,"2,000 "
KI,台虹科技股份有限公司,8039,台虹,●,,◎,,,"2,000 "
KK,達方電子股份有限公司,8163,達方,●,,◎,,,"2,000 "
KL,寶成工業股份有限公司,9904,寶成,●,,◎,,,"2,000 "
KO,宏全國際股份有限公司,9939,宏全,●,,◎,,,"2,000 "
KP,潤泰創新國際股份有限公司,9945,潤泰新,●,,◎,,,"2,000 "
KR,味全食品工業股份有限公司,1201,味全,●,,◎,,,"2,000 "
KS,聚陽實業股份有限公司,1477,聚陽,●,,◎,,,"2,000 "
KT,喬山健康科技股份有限公司,1736,喬山,●,,◎,,,"2,000 "
KW,廣宇科技股份有限公司,2328,廣宇,●,,◎,,,"2,000 "
LB,健鼎科技股份有限公司,3044,健鼎,●,,◎,,,"2,000 "
LC,台灣大哥大股份有限公司,3045,台灣大,●,,◎,,,"2,000 "
LE,玉晶光電股份有限公司,3406,玉晶光,●,,◎,,,"2,000 "
