TXF1,大台期貨,$TWT,市加權指數
MXF1,小台期貨,$TWT,市加權指數
MXF0,小臺周期,$TWT,市加權指數
EXF1,電子期貨,$TWT13,市電子指數
FXF1,金融期貨,$TWT17,市金融指數
T5F1,五十期貨,$TW50,富時臺灣證券交易所臺灣50指數
GTF1,櫃檯期貨,$TWO,櫃檯指數
XIF1,非金電期貨,$TWTNB,非金電指數
